"question","reponse","gouvernement"
"A quoi servent les cookies ?","Les cookies sont de petits fichiers installés sur votre ordinateur permettant à notre système de se souvenir des annonces que vous avez sauvegardées et des recherches automatiques que vous avez enregistrées.Les cookies sont entièrement anonymes et ne contiennent aucune information à caractère personnel.Désactiver la fonction cookies depuis le web✔Rendez-vous sur notre pagePolitique de confidentialité leboncoin✔Cliquez sur l'onglet ""Vos droits"" puis ""Comment exercer vos droits ?""✔A la fin de ce paragraphe, cliquez sur le lien ""Vous pouvez également exercer vos choix concernant notre utilisation de cookies en cliquant ici""✔Vous pourrez gérer vos paramètres d'autorisation sur la fenêtre qui apparaîtra sur votre écranDésactiver la fonction cookies depuis mon application leboncoin✔Rendez-vous sur la page ""Mon compte""✔Cliquez sur l'onglet ""Informations légales"" puis ""Vie privée""✔Vous pourrez gérer vos autorisations en cliquant sur les différents boutons : en vert, cela signifie que le suivi est activé, en rouge, cela signifie qu'il est désactivé.Note: Vous pouvez accepter ou refuser le suivi par nos différents partenaires en détail en cliquant sur ""Voir les partenaires.Notez que si vous désactiviez la fonction Cookies, certains services proposés par notre site ne seront pas actifs.","0"
"Je suis européen, dois-je solliciter un titre de séjour ?","Les ressortissants de l’Union européenne, de l’Espace économique européen et de la Confédération suisse ne sont pas tenus de détenir un titre de séjour pour séjourner et travailler en France.
Pour ces ressortissants, la détention d’un titre de séjour n’est pas obligatoire pour l’inscription à la sécurité sociale, à la caisse d’allocation familiale, à Pôle Emploi, pour l’ouverture d’un compte bancaire ou la souscription d’une assurance, pour l’accès à un logement social, pour passer le permis de conduire, etc. Vous pouvez justifier de votre identité et de votre nationalité avec votre carte d’identité ou votre passeport.","1"
"Les produits Paula’s Choice sont-ils vegan, ou peut-il arriver qu’ils contiennent des sous-produits animaux ?","La majorité des produits Paula’s Choice sont vegan, car ils ne contiennent aucun ingrédient animal ou d’origine animale. Nous essayons toujours, dans la limite du possible, de formuler nos produits sans avoir recours à ces ingrédients, et vous serez sûrement ravi.e d’apprendre que de nouveaux ingrédients de soin de la peau vegan sont constamment en cours de développement. Certains de nos produits contiennent cependant des ingrédients animaux ou d’origine animale, soit parce qu’ils sont nécessaires à la formulation du produit, soit parce qu’aucun ingrédient vegan équivalent n’est disponible.","0"
"Vendeur particulier : comment envoyer mon colis ?","Pour envoyer votre colis, téléchargez et imprimez le bon d’envoi. Emballez soigneusement l’article, et prenez soin de laisser le code barre de l’étiquette d’envoi apparent. Déposer votre colis dans le point de collecte correspondant au transporteur. Pensez à confirmer l’envoi via la messagerie leboncoin. Les frais d’envoi sont à la charge de l’acheteur.---END PREVIEW---Voici la marche à suivre pour envoyer votre colis :✔Téléchargez et imprimez votre bon d’envoi.✔Emballez soigneusement votre article.✔Collez le bon d’envoi sur le colis en prenant soin de laisser le code barre apparent.✔Déposez votre colis :En point relais pour un envoi Mondial Relay :trouver un point relais Mondial RelayEn point relais pour un envoi Colissimo :trouver un point relais ColissimoDans une boîte aux lettres La Poste pour un courrier suiviAuprès de votre transporteur, si vous avez choisi l'envoi personnaliséEn relais Pickup pour un envoi Shop2Shop by Chronopost :trouver un relais Pickup Shop2Shop by ChronopostEn Relais pour un envoi Relais Colis de moins de 20kg :trouver un relais Relais ColisEn Relais Max pour un envoi d'un colis de 20 à 40kg et de développé inférieur à 250cm :trouver un Relais MaxEn Point Drive pour un envoi d'un colis supérieur à 40kg et de développé supérieur à 250cm :trouver un Point Drive Relais Colis XL✔Confirmez l’envoi du colis via la messagerie sécurisée leboncoin.Note: vous n’avez rien à payer, les frais d’envoi sont facturés à l’acheteur.Je n’ai pas d’imprimante, que faire ?Le transporteur Mondial Relay offre la possibilité d’imprimer son étiquette d’envoi directement en point relais. Pour ce faire, il faut présenter le QR code reçu par mail dans l’un des points relais proposant le service d’impression. Le mail contenant le QR code est envoyé environ 30 min après la validation de l’achat.Pour accéder à la liste des Points Relais proposant le service d'impression :Rendez-vous sur le lien pourTrouver votre Point Relais Mondial RelayRenseignez le code postal de destination.Sélectionnez un point relais indiquant la mention “Impression en Point Relais disponible”","0"
"Peut-on conduire un scooter 3 roues ou une moto 125 avec le permis B ?","Le
permis B
permet de conduite une
moto légère 125
: titleContent
ou un scooter 3 roues de la
catégorie L5e
: titleContent
sous conditions.
Vous pouvez conduire une
motocyclette légère
: titleContent
avec un
permis B
si vous remplissez les
2 conditions
suivantes :
Vous êtes dispensé de suivre la formation dans les 2 cas suivants :
Vous pouvez suivre la formation pratique de 7 heures dans un
délai d'1 mois avant la date anniversaire des 2 ans d'obtention du permis B.
Si vous avez eu le permis B le 20 décembre 2023, vous pouvez suivre la formation à partir du 20 novembre 2025.
La formation de 7 heures comprend
3 modules
:
Le prix de la formation de 7 heures est compris entre
250 €
et
300 €
selon les auto-écoles ou associations agréés.
Étant donné que les prix sont libres, demandez des devis.
Vous pouvez suivre la formation de 7 heures dans une école de conduite agréée (auto-école ou association).
Un service en ligne permet de trouver l'école labellisée par l’État la plus proche de chez vous :
Lors de votre inscription, l'école de conduite vous ouvre un accès à un
livret de formation numérique
.
Les principales informations du livret de formation numérique concernent :
À la fin de la formation, vous recevez une attestation.
Lors d'un contrôle par les forces de l'ordre, vous devez présenter les documents suivants :
Si vous ne respectez pas cette obligation, vous risquez une amende pouvant aller jusqu'à
38 €
. En général, il s'agit d'une amende forfaitaire de
11 €
.
Si vous êtes invité à présenter ces documents à la police ou à la gendarmerie dans les 5 jours, vous devez respecter ce délai sous peine d'une amende pouvant aller jusqu'à
750 €
. En général, il s'agit d'une amende forfaitaire de
135 €
.
Lors d'un contrôle par les forces de l'ordre, vous devez présenter les documents suivants :
Si vous ne respectez pas cette obligation, vous risquez une amende pouvant aller jusqu'à
38 €
. En général, il s'agit d'une amende forfaitaire de
11 €
.
Si vous êtes invité à présenter ces documents à la police ou à la gendarmerie dans les 5 jours, vous devez respecter ce délai sous peine d'une amende pouvant aller jusqu'à
750 €
. En général, il s'agit d'une amende forfaitaire de
135 €
.
Vous pouvez conduire un scooter à 3 roues de la
catégorie L5e
: titleContent
(y compris d'une puissance supérieure à 15 kilowatts) avec un
permis B
si vous remplissez les
3 conditions
suivantes :
Vous êtes dispensé de suivre la formation pratique de 7 heures dans les 2 cas suivants :
Vous pouvez suivre la formation pratique de 7 heures dans un
délai d'1 mois avant la date anniversaire des 2 ans d'obtention du permis B.
Si vous avez eu le permis B le 20 décembre 2023, vous pouvez suivre la formation à partir du 20 novembre 2025.
La formation de 7 heures comprend
3 modules
:
Le prix de la formation de 7 heures est compris entre
250 €
et
300 €
selon les auto-écoles ou associations agréés.
Étant donné que les prix sont libres, demandez des devis.
Vous pouvez suivre la formation de 7 heures dans une école de conduite agréée (auto-école ou association).
Un service en ligne permet de trouver l'école labellisée par l’État la plus proche de chez vous :
Lors de votre inscription, un accès à un
livret d'apprentissage numérique
vous est ouvert.
Les principales informations du livret de formation numérique concernent :
À la fin de la formation, vous recevez une attestation.
Lors d'un contrôle par les forces de l'ordre, vous devez présenter les documents suivants :
Si vous ne respectez pas cette obligation, vous risquez une amende pouvant aller jusqu'à
38 €
. En général, il s'agit d'une amende forfaitaire de
11 €
.
Si vous êtes invité à présenter ces documents à la police ou à la gendarmerie dans les 5 jours, vous devez respecter ce délai sous peine d'une amende pouvant aller jusqu'à
750 €
. En général, il s'agit d'une amende forfaitaire de
135 €
.
Lors d'un contrôle par les forces de l'ordre, vous devez présenter les documents suivants :
Si vous ne respectez pas cette obligation, vous risquez une amende pouvant aller jusqu'à
38 €
. En général, il s'agit d'une amende forfaitaire de
11 €
.
Si vous êtes invité à présenter ces documents à la police ou à la gendarmerie dans les 5 jours, vous devez respecter ce délai sous peine d'une amende pouvant aller jusqu'à
750 €
. En général, il s'agit d'une amende forfaitaire de
135 €
.
https://permisdeconduire.ants.gouv.fr/
Accès au
formulaire de contact
34 00
(numéro non surtaxé)
09 70 83 07 07 depuis l'Outre-Mer et l'étranger
Du lundi au vendredi de 9h à 17h.
Véhicule à 2 roues (moto, scooter) équipé d'un moteur d'une cylindrée ne dépassant pas 125 cm³ et dont la puissance ne dépasse pas 11 kilowatts (15 chevaux).
Véhicule à 3 roues, équipé d'un moteur d'une cylindrée supérieure à 50 cm³. Vitesse maximale supérieure à 45 km/h. Poids à vide inférieur ou égal à 1000 kg
Allemagne, Autriche, Belgique, Bulgarie, Chypre, Croatie, Danemark, Espagne, Estonie, Finlande, France, Grèce, Hongrie, Irlande, Islande, Italie, Lettonie, Liechtenstein, Lituanie, Luxembourg, Malte, Norvège, Pays-Bas, Pologne, Portugal, République tchèque, Roumanie, Slovaquie, Slovénie, Suède","1"
"Est-il vrai que l'énurésie est causée par des problèmes psychologiques ?","Non, les facteurs psychologiques comme le stress et l'anxiété ne sont pas la cause principale de l'énurésie. Ils peuvent expliquer des cas d'énurésie secondaire dus à l'impact du stress sur les niveaux d'hormones chez les enfants plus âgés. Mais pour les enfants plus jeunes, si les problèmes psychologiques peuvent jouer un rôle, il est peu probable qu'ils en soient la cause principale.","0"
"Accès et utilisation de la messagerie","Note: si vous ne parvenez pas à accéder à la messagerie, veuillez consulterJe ne suis pas autorisé à accéder à la messagerie.Qui a accès à la messagerie leboncoin ?Comment accéder à la messagerie ?Comment contacter un utilisateur ?Gestion des notificationsRègles de sécuritéQui a accès à la messagerie leboncoin ?La messagerie est disponible pour :✔Les particuliers✔Les professionnels proposant des articles dans les catégories Vacances, Mode, Maison, Multimédia, Loisirs, Animaux, Matériel Pro, Services, Divers.Comment accéder à la messagerie ?✔Connectez-vous à votre compte leboncoin (pour créer un compte,cliquez ici)✔Cliquez sur l’onglet “Messages” depuis la page d'accueil du site ou des menus des applications IOS et Android.Comment contacter un utilisateur ?La prise de contact s’effectue par le biais d’une annonce, en cliquant sur le bouton “Message” ou ""Contacter"" selon la catégorie de l'annonce.Une fois le premier message envoyé, la conversation peut être retrouvée dans l’onglet “Messages” de votre compte.Note: pour contacter par email un annonceur professionnel de l’immobilier, de l’automobile, de l’emploi ou de vacances, rendez-vous sur la page de l'annonce et cliquez sur son nom ou sur le lien « Envoyer un message ».Gestion des notificationsLe Service Leboncoin vous notifiera de tout nouveau message (depuis votre mobile) et/ou vous avertira par courrier électronique à l’adresse email renseignée lors de la création de votre compte.Vous pouvez à tout momentdésactiver les notifications emaildepuis votrecompte.Règles de sécuritéAfin de préserver vos données personnelles et d’éviter toute tentative d'actions malveillantes (spam, phishing...) les adresses emails des utilisateurs et des annonceurs utilisant la messagerie ne sont pas visibles par leur interlocuteur.De la même façon, les adresses emails envoyées via la messagerie leboncoin sont masquées. (Email masqué pour votre sécurité).Seul le pseudonyme renseigné lors de la création du compte par l’utilisateur et/ou l’annonceur sera visible.Pour plus de sécurité, nous vous invitons à ne jamais communiquer votre email personnel ou vos coordonnées personnelles et à privilégier l'utilisation de la messagerie pour toutes vos conversations.Il est possible d'échanger des documents via la messagerie en cliquant sur le +.Note: pour plus d’informations, consultezComment remarquer un comportement suspect ?Règles de confidentialitéTous les messages échangés sur notre plateforme de messagerie leboncoin entre nos utilisateurs sont confidentiels, conformément à la législation applicable. Nos équipes n'accèdent pas aux échanges de nos utilisateurs qui relèvent de la conversation privée.Les messages échangés entre nos utilisateurs ne sont pas archivés en cas de suppressions et de perte. Pour des raisons de confidentialité et afin de respecter la législation applicable, nos équipes ne sont en aucun cas en mesure de vous partager les archives de ces conversations.Afin de garantir la sérénité de nos utilisateurs, nous avons la possibilité de détecter tout propos contraire aux bonnes mœurs et à l’ordre public, inapproprié, insultant ou diffamatoire, à l'aide d'un logiciel automatisé qui détecte ces comportements via un algorithme.Pour en savoir plus, je vous invite à consulter nosconditions générales d'utilisationet notre page dédiéevie privée et cookies.","0"
"Qui perçoit les prestations et allocations familiales dans un couple ?","Dans un couple, il faut désigner un allocataire à la Caf ou à la MSA. La situation varie selon que les parents vivent dans le même foyer ou sont séparés :
En tant que parents, vous vivez dans le même foyer et assumez ensemble la
charge effective et permanente de votre enfant
.
Vous devez désigner, d'un commun accord, le parent qui a le droit aux prestations familiales. Ce parent est appelé
l'allocataire
.
Ce choix (dit
droit d'option
) peut être fait à tout moment.
Vous
ne pouvez plus modifier la désignation du parent allocataire pendant 1 an
, sauf changement de situation (par exemple : un divorce).
En cas de séparation, vous devez contacter la
Caf
: titleContent
. La démarche varie selon que vous soyez ou non l'allocataire.
Si vous ne désignez pas d'allocataire, les prestations familiales sont versées
à la mère.
En cas de séparation, les prestations sont versées au parent
chez lequel l'enfant vit
. Ce parent est appelé
l'allocataire
.
Si vous êtes mariés, cette séparation se traduit par :
Si vous êtes en concubinage, cette séparation se traduit par une
cessation de la vie commune
.
Des
règles particulières
s'appliquent en cas de garde alternée.
Ces règles varient selon que vous êtes
d'accord ou non sur la désignation du ou des allocataires.
Caisse d'allocations familiales","1"
"L'administration peut-elle modifier le contrat d'un agent contractuel ?","Oui, votre administration employeur peut vous proposer une modification d'un
élément substantiel
de votre contrat mais uniquement si vous êtes employé sur un
emploi permanent
.
Vous n'êtes pas employé sur un emploi permanent si vous avez été recruté pour faire face à un besoin occasionnel ou saisonnier d'activité ou sur un
contrat de projet
.
Tout autre recrutement, quel qu'en soit le motif, est effectué sur un emploi permanent.
L'administration peut vous proposer la modification d'un élément substantiel de votre contrat en cas de
transformation du besoin ou de l'emploi qui a justifié votre recrutement
.
La modification substantielle proposée peut porter sur
l'un ou plusieurs des points suivants
:
Lorsqu'une telle modification est envisagée, la proposition vous est adressée par lettre recommandée avec accusé de réception ou remise en main propre contre signature.
Cette lettre vous informe que vous disposez
d'un mois
à partir de la date de sa réception
pour faire connaître votre décision d'acceptation ou de refus de la modification.
Il est recommandé de faire connaître votre décision par lettre recommandée avec accusé de réception ou remise en main propre contre signature.
L'absence de réponse
dans ce délai est considérée comme un
refus
de la modification proposée.
Votre refus peut justifier votre
licenciement
.
Votre administration peut aussi vous proposer une
modification de votre rémunération.
Mais si vous refusez la proposition, cela ne constitue pas un motif de licenciement. C'est à vous de décider si vous souhaitez
démissionner
.","1"
"Peut-on fumer en voiture ?","Fumer en voiture
est possible si le conducteur et les passagers sont tous majeurs.
Toutefois,
en présence d'un mineur
, fumer en voiture est
interdit
. L'interdiction s'applique à tous les occupants du véhicule.
Fumer en voiture en présence d'un mineur
est sanctionné par une
amende
pouvant aller jusqu'à
750 €
. En général, il s'agit d'une amende de
135 €
.","1"
"Comment faire pour être au courant des promos?","Il suffit des vous inscrire à notre newsletter et vous recevrez toutes les informations concernant nos promotions.","0"
"🚙 Acheteur : prix et conditions de la garantie panne mécanique","Qu’est-ce que la garantie panne mécanique ?Combien coûte la garantie ?Quelles sont les conditions pour souscrire la garantie panne mécanique ?Quelles sont les pièces du véhicule couvertes par la garantie panne mécanique ?En cas de sinistre, dois-je payer une franchise ?En cas de panne, dois-je avancer les frais de réparation de mon véhicule ?Le remboursement des réparations est-il plafonné ?Qui contacter en cas de question ou de panne ?Attention: cet article concerne uniquement les demandes liées à la garantie panne mécanique souscrite lors de l’utilisation du paiement sécurisé leboncoin pour véhicule (avec Pack Sérénité).Qu’est-ce que la garantie panne mécanique ?La garantie panne mécanique est un contrat d’assurance qui couvre votre véhicule des pannes mécaniques, électriques et électroniques qu’il pourrait rencontrer dans les conditions et limites des CGV suivantes :CGV Extension de Garantie et Assistance MaximaleCGV Extension de Garantie et Assistance EssentielleCGV Extension de Garantie et Assistance OptimaleCette garantie est incluse dans le Pack Sérénité.Note: si vous achetez un véhicule non éligible au Pack Sérénité, vous ne pouvez pas souscrire la garantie panne mécanique.En cas de panne(s) sur votre véhicule garanti par BNP Paribas Cardif, l’assureur :✔Vous dépanne immédiatement si votre véhicule est immobilisé, et met à votre disposition un véhicule de remplacement.✔Prend en charge les frais de réparation pièces et main d'œuvre.Combien coûte la garantie ?Le prix de la garantie dépend de la durée de couverture sélectionnée avec le Pack Sérénité :3 mois : 139€6 mois : 259€12 mois : 399€Quelles sont les conditions pour souscrire la garantie panne mécanique ?La garantie panne mécanique ne peut être souscrite que sur les transactions de particulier à particulier.La garantie panne mécanique est scindée en trois offres : la garantie maximale, la garantie optimale et la garantie essentielle.Vous n’avez pas de choix à faire au moment de la souscription, l’une des trois garanties vous est automatiquement attribuée selon le type de véhicule (cela n’implique pas de différence de prix).Les critères d’éligibilité sont les suivants :Garantie maximale✔Ancienneté du véhicule de 2 à 5 ans✔Kilométrage inférieur ou égal à 120 000 km✔DIN inférieur ou égal à 265 chevaux DINGarantie optimale✔Ancienneté du véhicule de 5 à 10 ans✔Kilométrage inférieur ou égal à 200 000 km✔DIN inférieur ou égal à 265 chevaux DINGarantie essentielle✔Ancienneté du véhicule de 10 à 20 ans✔Kilométrage inférieur ou égal à 200 000 km✔DIN inférieur ou égal à 265 chevaux DINNote: pour plus d’informations sur la souscription, consultez notre articleJe suis acheteur : comment souscrire la garantie panne mécanique ?Quelles sont les pièces du véhicule couvertes par la garantie panne mécanique ?Les pièces couvertes par la garantie diffèrent selon l’âge et le kilométrage du véhicule :Garantie maximaleMoteurBoîte de vitesseSystème de refroidissementInjection turboBoitiers électroniquesAide au stationnementFreinageDirectionTransmissionDémarreur ou alternateurCapteurs FaisceauxSiège et sellerieGPS autoradioSuspensionCondamnation centraliséeInstruments de bordClimatisationBatterie haute tensionMoteur de traction, système de commande et de chargeRefroidissement de la batterieGarantie optimaleMoteurBoîte de vitesseSystème de refroidissementFreinageDirectionTransmissionInjection turboBoitiers électroniques moteurDémarreur ou alternateurCapteurs faisceaux moteurMoteur de traction, système de commande et de chargeRefroidissement de la batterieGarantie essentielleMoteurBoîte de vitesseSystème de refroidissementTransmissionInjectionTurboMoteur de traction, système de commande et de chargeRefroidissement de la batterieEn cas de sinistre, dois-je payer une franchise ?Oui, 150€ par sinistre.En cas de panne, dois-je avancer les frais de réparation de mon véhicule ?En cas de panne, les frais couverts en France pour la remise en état de votre véhicule sont payés directement par l’assureur auprès du garage réparateur.Le remboursement des réparations est-il plafonné ?Oui, le plafond de prise en charge est de 3000€.Qui contacter en cas de question ou de panne ?Je n’ai pas encore souscrit la garantie panne mécanique: contactez le service client leboncoin en cliquant sur “envoyer une demande” en bas de cet article.J’ai déjà souscrit un contrat de garantie panne mécanique: contactez notre partenaire assureurpar email. Pour déclarer une panne, pensez à inclure une copie de votre carte grise mutée (à votre nom) afin de simplifier et d’accélérer votre prise en charge.","0"
"Que se passe-t-il si le fonctionnaire stagiaire n'est pas titularisé ?","À la suite de votre recrutement ou de votre
promotion interne
, vous êtes soumis à une période probatoire de stage au cours de laquelle vous êtes fonctionnaire stagiaire.
Cette période de stage a pour but de permettre à votre administration employeur de vérifier, avant de vous titulariser, que vous disposez des
aptitudes professionnelles requises
pour exercer les
fonctions correspondant à votre grade
.
La période de stage peut être prolongée si votre administration employeur juge vos aptitudes professionnelles insuffisantes pour permettre votre titularisation à la fin de la période initiale.
La durée initiale du stage et la durée possible de prolongation sont fixées par le
statut particulier
: titleContent
du
corps ou du cadre d'emplois
: titleContent
dans lequel vous êtes nommé fonctionnaire stagiaire.
Votre administration employeur peut décider de ne pas vous titulariser :
Votre administration employeur peut décider de ne pas vous titulariser
au cours de votre période de stage
.
Vous devez toutefois avoir accompli
au moins la moitié de la durée normale de votre stage
(soit au moins 6 mois si vous êtes soumis à un stage d'un an).
La décision de votre administration consiste en un
licenciement pour insuffisance professionnelle
.
L’insuffisance professionnelle consiste en l'incapacité à exercer les fonctions correspondant à un grade par rapport aux capacités que l'administration est en droit d'attendre d'un fonctionnaire de ce grade.
La décision de licenciement pour insuffisance professionnelle est soumise à l'
avis préalable de la
commission administrative paritaire (CAP)
sauf, dans la fonction publique d'État, si l'aptitude professionnelle du fonctionnaire stagiaire doit être appréciée par un jury.
Votre administration doit vous informer de votre droit à consulter votre dossier individuel.
L'avis rendu par la CAP est un
avis simple
qui ne s'impose pas à votre administration employeur. Cela veut dire qu'en cas d'avis défavorable de la CAP à votre licenciement, l'administration employeur n'est pas obligée de suivre cet avis et peut prononcer votre licenciement.
La décision de licenciement peut faire l'objet, dans les 2 mois suivant la date de sa
notification
: titleContent
, d'un
recours contentieux devant le tribunal administratif
.
Si, avant d'être nommé stagiaire, vous étiez déjà fonctionnaire titulaire dans un autre corps ou cadre d'emplois, il est mis fin à votre détachement pour stage et vous êtes réintégré dans votre corps ou cadre d'emplois d'origine.
Vous n'avez droit à
aucune indemnité de licenciement
.
Votre administration employeur peut décider de ne pas vous titulariser
à la fin de votre période de stage
(que celle-ci ait été prolongée ou non).
La décision de votre administration consiste en un
refus de titularisation
.
La décision de refus de titularisation est soumise à l'
avis préalable de la
commission administrative paritaire (CAP)
.
Vous avez le droit de demander la communication de votre dossier individuel.
L'avis rendu par la CAP est un
avis simple
qui ne s'impose pas à votre administration employeur. Cela veut dire qu'en cas d'avis défavorable de la CAP à votre licenciement, l'administration employeur n'est pas obligée de suivre cet avis et peut prononcer votre licenciement.
La décision de refus de titularisation peut faire l'objet, dans les 2 mois suivant la date de sa
notification
: titleContent
d'un
recours contentieux devant le tribunal administratif
.
Si, avant d'être nommé stagiaire, vous étiez déjà fonctionnaire titulaire dans un autre corps ou cadre d'emplois, il est mis fin à votre détachement pour stage et vous êtes réintégré dans votre corps ou cadre d'emplois d'origine.
Vous n'avez droit à
aucune indemnité de fin de stage
.
Ensemble des règles applicables en matière de recrutement, d'avancement, de promotion, de rémunération, etc., à tous les fonctionnaires membres d'un même corps ou cadre d'emplois
Ensemble de fonctionnaires soumis à un même ensemble de règles, appelé
statut particulier
, fixé par décret, et ayant vocation à occuper les mêmes emplois
Formalité par laquelle un acte de procédure ou une décision est porté à la connaissance d’une personne","1"
"Un employeur peut-il mettre d'office un salarié à la retraite ?","Oui,
votre employeur peut vous
mettre d'office à la retraite
si vous avez
au moins 70 ans
.
Si vous avez
entre 67 et 69 ans
, votre employeur peut vous
proposer
de partir à la retraite, mais vous n'êtes
pas obligé
d'accepter.
Votre employeur peut vous interroger
par écrit
sur votre intention de quitter volontairement l'entreprise pour prendre votre retraite.
Cette demande vous est adressée
3 mois avant votre 67
e
anniversaire.
Vous avez
1 mois
pour donner votre réponse à votre employeur.
Votre situation varie selon que vous acceptez ou non de partir à la retraite :
Aucune procédure n'est imposée à l'employeur pour vous informer officiellement de votre mise à la retraite, sauf si un accord collectif le prévoit.
Toutefois, si vous êtes
salarié protégé
: titleContent
, votre employeur doit obtenir l'autorisation de l'inspection du travail avant de vous mettre en retraite.
Votre date de départ en retraite est fixée en tenant compte d'un
délai de préavis
dont la durée est identique à la durée de préavis prévue en cas de
licenciement
.
Vous pouvez calculer la durée de préavis à respecter au moyen d'un simulateur :
Votre employeur ne peut pas vous mettre d'office à la retraite.
En revanche, il peut vous interroger de nouveau, selon la même procédure, chaque année, jusqu'à votre 69
e
anniversaire inclus.
Votre employeur peut vous mettre d’office à la retraite. Votre accord n'est
pas nécessaire
.
Aucune procédure n'est imposée à l'employeur pour vous informer officiellement de votre mise à la retraite, sauf si un accord collectif le prévoit.
Toutefois, si vous êtes
salarié protégé
: titleContent
, votre employeur doit obtenir l'autorisation de l'inspection du travail avant de vous mettre en retraite.
Votre date de départ en retraite est fixée en tenant compte d'un
délai de préavis
dont la durée est identique à la durée de préavis prévue en cas de
licenciement
.
Vous pouvez calculer la durée de préavis à respecter au moyen d'un simulateur :
Pour plus d'informations sur ce sujet, vous pouvez contacter Allô Service Public.
Attention : le service n'a pas accès aux dossiers personnels des usagers et ne peut donc pas renseigner sur leur état d'avancement.
Il
ne répond pas
aux questions portant sur l'indemnisation du chômage et les démarches auprès de
France Travail
(anciennement Pôle emploi), les
fonctionnaires
ou
contractuels
de la f
onction publique
, le montant ou le versement des
cotisations
sociales, salariales ou patronales.
Les informateurs qui vous répondent appartiennent au ministère chargé du travail.
Salarié investi d'un mandat syndical ou de représentant du personnel bénéficiant de mesures particulières en cas de licenciement. L’inspection du travail doit donner son accord en cas de licenciement d'un membre du comité économique et social (CSE), d'un délégué syndical, d'un défenseur syndical ou d'un conseiller prud'homal.","1"
"Je suis intéressé.e par un nouveau produit disponible aux États-Unis, quand pourrai-je l’acheter dans l’UE ?","La plupart des nouveautés sont disponibles dans l’UE environ 4 semaines après leur lancement aux États-Unis. Si vous souhaitez être parmi les premiers informés de nos dernières nouveautés, mais aussi de nos offres spéciales et de nos promotions, inscrivez-vous à notre newsletter gratuite .","0"
"Déclaration de naissance ou reconnaissance d'un enfant : quelles différences ?","La
déclaration de naissance
est
obligatoire
. Elle doit être faite
dans les 5 jours
qui suivent le jour de l'accouchement, à la mairie du lieu de naissance.
La reconnaissance d'un enfant est une démarche
volontaire
et personnelle. Elle est faite devant un
officier d'état civil
: titleContent
(ou par acte notarié).
La reconnaissance établit le lien de filiation entre l'enfant et son parent. Elle a des effets sur
l'exercice de l'autorité parentale
et sur le
nom de l'enfant
.
Si vous êtes la
mère
, il suffit que votre nom soit indiqué dans l'acte de naissance.
Si vous êtes le
père
, votre situation dépend de votre lien avec la mère de l'enfant :
Si vous êtes un
couple de femmes
, des règles spécifiques sont prévues.
La démarche de reconnaissance dépend de votre situation :
Vous pouvez reconnaître votre enfant à l'occasion de la déclaration de naissance.
Vous pouvez aussi reconnaître votre enfant avant (ou après) la déclaration de naissance.
Vous pouvez reconnaître vous-même votre enfant si vous êtes dans l'une des situations suivantes :
Les démarches de reconnaissance d'enfant et de déclaration de naissance diffèrent :
Votre couple doit être engagé dans un projet d'
AMP
: titleContent
, avec don de sperme.
La reconnaissance conjointe anticipée
se fait
devant un notaire
, en même temps que la signature du consentement au don de sperme.
La reconnaissance conjointe doit être remise à l'officier d'état civil lors de la déclaration de naissance de l'enfant par l'une des personnes suivantes :
En cas
d'accouchement sous X
, la reconnaissance de l'enfant est possible, pour le père comme pour la mère,
dans les 2 mois
qui suivent la naissance.
Assistance médicale à la procréation
Personne (en France, en mairie ou consulat) qui établit les actes d'état civil (naissance, mariage, décès...), les conserve et en délivre copies ou extraits
Mesure prise par le juge pour protéger une personne qui n'est plus en état de veiller sur ses intérêts.","1"
